LOCATION,CSA,emp_change,emp_2017,emp_2018,emp_2019,emp_2020,emp_2021
"Myrtle Beach-Conway, SC-NC CSA",396,-10.945674044265594,3450,3354,2829,2485,2213
"Nashville-Davidson--Murfreesboro, TN CSA",400,-9.861398071625345,22768,23762,22763,23232,20941
"New Bern-Morehead City, NC CSA",404,-32.98611111111111,642,569,563,576,386
"New Orleans-Metairie-Hammond, LA-MS CSA",406,-7.049752157150725,6665,6219,6370,5447,5063
"New York-Newark, NY-NJ-CT-PA CSA",408,-4.406608971010356,352375,362118,368169,371374,355009
"Omaha-Council Bluffs-Fremont, NE-IA CSA",420,-6.896276807781232,12567,12679,13103,12543,11678
"North Port-Sarasota, FL CSA",412,-9.267241379310345,4648,4934,4780,4640,4210
"Oklahoma City-Shawnee, OK CSA",416,-13.51242983159583,10581,10623,9831,9976,8628
"Orlando-Deltona-Daytona Beach, FL CSA",422,-12.327629174281443,33627,35924,35925,36114,31662
"Oskaloosa-Pella, IA CSA",423,-16.516516516516518,313,352,339,333,278
"Paducah-Mayfield, KY-IL CSA",424,-15.051221434200157,938,985,1179,1269,1078
"Parkersburg-Marietta-Vienna, WV-OH CSA",425,-7.739307535641547,799,597,535,491,453
"Pensacola-Ferry Pass, FL-AL CSA",426,-4.117344312918168,2144,2014,2093,1943,1863
"Peoria-Canton, IL CSA",427,-15.913715913715915,2360,2591,2573,2457,2066
"Philadelphia-Reading-Camden, PA-NJ-DE-MD CSA",428,-2.0571508811345924,70799,72160,72604,71215,69750
"Portland-Vancouver-Salem, OR-WA CSA",440,-4.818545163868905,33610,33541,31733,31275,29768
"Pittsburgh-New Castle-Weirton, PA-OH-WV CSA",430,-7.463998660415272,25183,25321,24447,23888,22105
"Portland-Lewiston-South Portland, ME CSA",438,-7.257607257607257,5930,5860,5658,5291,4907
"Pueblo-Cañon City, CO CSA",444,-13.589128697042366,1105,1099,1166,1251,1081
"Pullman-Moscow, WA-ID CSA",446,-25.602409638554217,337,324,350,332,247
"Quincy-Hannibal, IL-MO CSA",448,-23.582766439909296,1228,979,925,882,674
"Raleigh-Durham-Chapel Hill, NC CSA",450,-6.7837982832618025,33724,35380,36006,37280,34751
"Rapid City-Spearfish, SD CSA",452,-3.3882783882783882,1397,1335,1232,1092,1055
"Redding-Red Bluff, CA CSA",454,-16.0,848,848,835,900,756
"Reno-Carson City-Fernley, NV CSA",456,-12.584269662921349,4354,4511,4559,4450,3890
"Richmond-Connersville, IN CSA",458,-21.292775665399237,293,282,272,263,207
"Rochester-Austin, MN CSA",462,-5.780989438576987,2551,2056,1977,1799,1695
"Rocky Mount-Wilson-Roanoke Rapids, NC CSA",468,-23.11265969802555,1160,1014,906,861,662
